task,modality,n_features,rows_with_any_observed_feature,labelled_rows,feature_missing_fraction
UCEC_molecular_subtype,mrna,469,507,507,0.012868876244306784
UCEC_molecular_subtype,gistic,469,507,507,0.0021321961620469083
UCEC_molecular_subtype,log2cna,469,507,507,0.0021321961620469083
UCEC_molecular_subtype,methylation,387,507,507,0.005580783756096815
UCEC_molecular_subtype,rppa,469,405,507,0.889289814662949
UCEC_molecular_subtype,mutation,469,507,507,0.0
COADREAD_molecular_subtype,mrna,469,449,449,0.004701278842820577
COADREAD_molecular_subtype,gistic,469,449,449,0.0021321961620469083
COADREAD_molecular_subtype,log2cna,469,449,449,0.0021321961620469083
COADREAD_molecular_subtype,methylation,387,449,449,0.006290176850077404
COADREAD_molecular_subtype,rppa,469,356,449,0.8901135430072039
COADREAD_molecular_subtype,mutation,469,449,449,0.0
HNSC_HPV_status,mrna,469,487,487,0.0
HNSC_HPV_status,gistic,469,487,487,0.0021321961620469083
HNSC_HPV_status,log2cna,469,487,487,0.0021321961620469083
HNSC_HPV_status,methylation,387,487,487,0.005603043471340114
HNSC_HPV_status,rppa,469,202,487,0.9425138899226367
HNSC_HPV_status,mutation,469,487,487,0.0
KIRC_grade_binary,mrna,469,502,504,0.003968253968253968
KIRC_grade_binary,gistic,469,501,504,0.008071885470606152
KIRC_grade_binary,log2cna,469,501,504,0.008071885470606152
KIRC_grade_binary,methylation,387,503,504,0.008685041630778064
KIRC_grade_binary,rppa,469,451,504,0.875981487122212
KIRC_grade_binary,mutation,469,504,504,0.0
PRAD_pathologic_T_stage,mrna,469,486,487,0.0021978695551284353
PRAD_pathologic_T_stage,gistic,469,482,487,0.012377245482765113
PRAD_pathologic_T_stage,log2cna,469,482,487,0.012377245482765113
PRAD_pathologic_T_stage,methylation,387,487,487,0.005486313399020529
PRAD_pathologic_T_stage,rppa,469,345,487,0.9018182773431173
PRAD_pathologic_T_stage,mutation,469,487,487,0.0
