task,top_model,comparator,top_wins,comparator_wins,ties,mean_f1_diff,ci95_low,ci95_high,wilcoxon_or_sign_p,holm_within_task_p
COADREAD_molecular_subtype,extra_trees,small_liquid_cfc_modality_sequence,5,5,0,0.0048489439207441,-0.0419044125265487,0.0509582739066443,1.0,1.0
COADREAD_molecular_subtype,extra_trees,mlp_early_fusion,5,4,1,0.0080264005499762,-0.0191862632691893,0.0339100347932081,0.65234375,1.0
COADREAD_molecular_subtype,extra_trees,logistic_elasticnet,7,3,0,0.0223880013155979,-0.0109208241900822,0.0536293709645011,0.193359375,0.7734375
COADREAD_molecular_subtype,extra_trees,liquid_cfc_modality_sequence,6,3,1,0.0254279361387306,-0.0160176678495292,0.0658791112450176,0.25,0.7734375
COADREAD_molecular_subtype,extra_trees,random_forest,6,3,1,0.0376296610592521,0.0037488687073085,0.0719367333078969,0.09765625,0.5859375
COADREAD_molecular_subtype,extra_trees,hist_gradient_boosting,8,1,1,0.0440782551533694,-0.008842061285666,0.0845213827090091,0.09765625,0.5859375
HNSC_HPV_status,logistic_elasticnet,hist_gradient_boosting,5,2,3,0.0159193261089963,-0.0129342099013755,0.045475787049727,0.375,0.4453125
HNSC_HPV_status,logistic_elasticnet,extra_trees,7,2,1,0.022102048418579,-0.015655758707789,0.0533371545045141,0.203125,0.4453125
HNSC_HPV_status,logistic_elasticnet,random_forest,8,1,1,0.0422570871782689,0.008331522422611,0.0751500707095678,0.0546875,0.21875
HNSC_HPV_status,logistic_elasticnet,liquid_cfc_modality_sequence,6,2,2,0.067500485607426,0.0063865903354026,0.1391832882426337,0.1484375,0.4453125
HNSC_HPV_status,logistic_elasticnet,small_liquid_cfc_modality_sequence,6,2,2,0.0722167383281635,0.0174238914393924,0.1353534157919945,0.0390625,0.1953125
HNSC_HPV_status,logistic_elasticnet,mlp_early_fusion,8,1,1,0.0938583567330011,0.0444164038455744,0.138185237655568,0.0078125,0.046875
KIRC_grade_binary,random_forest,extra_trees,4,4,2,0.0122185634143827,-0.0058104018949063,0.0319377555595372,0.3125,0.625
KIRC_grade_binary,random_forest,hist_gradient_boosting,5,4,1,0.0255098558391981,-0.0171142126780544,0.0681537153152021,0.359375,0.625
KIRC_grade_binary,random_forest,small_liquid_cfc_modality_sequence,7,3,0,0.02833974616778,0.0012495395259336,0.0543098458650326,0.10546875,0.52734375
KIRC_grade_binary,random_forest,liquid_cfc_modality_sequence,7,3,0,0.0331080924720762,0.0007334332910025,0.0689415057978726,0.16015625,0.52734375
KIRC_grade_binary,random_forest,logistic_elasticnet,8,2,0,0.039155238615107,0.0160150614476315,0.0605648394735104,0.01953125,0.1171875
KIRC_grade_binary,random_forest,mlp_early_fusion,7,3,0,0.0401559244067665,0.0039724828369277,0.078049196433642,0.10546875,0.52734375
PRAD_pathologic_T_stage,random_forest,hist_gradient_boosting,7,3,0,0.0021015498432677,-0.0440199535826172,0.0373378369217887,0.431640625,1.0
PRAD_pathologic_T_stage,random_forest,extra_trees,7,3,0,0.0056957297578938,-0.0319086597253753,0.0380620127693601,0.625,1.0
PRAD_pathologic_T_stage,random_forest,liquid_cfc_modality_sequence,6,4,0,0.0096774182716943,-0.0449385481252266,0.0524121060067878,0.431640625,1.0
PRAD_pathologic_T_stage,random_forest,small_liquid_cfc_modality_sequence,7,3,0,0.0116786016562124,-0.0491222289657274,0.0626842225834951,0.375,1.0
PRAD_pathologic_T_stage,random_forest,mlp_early_fusion,7,3,0,0.0176881916439836,-0.0424771759227209,0.0702370162287369,0.625,1.0
PRAD_pathologic_T_stage,random_forest,logistic_elasticnet,7,3,0,0.0531074161797458,-0.0155030992101811,0.1108343212235047,0.232421875,1.0
UCEC_molecular_subtype,extra_trees,logistic_elasticnet,7,3,0,0.0053317737739358,-0.0387338571567406,0.0458628347819152,0.6953125,1.0
UCEC_molecular_subtype,extra_trees,liquid_cfc_modality_sequence,5,4,1,0.0058860164226895,-0.0304041166020355,0.0418822605490392,0.8203125,1.0
UCEC_molecular_subtype,extra_trees,random_forest,7,3,0,0.006881093104957,-0.0220785661060522,0.0289696143282286,0.193359375,1.0
UCEC_molecular_subtype,extra_trees,mlp_early_fusion,7,3,0,0.014574849295875,-0.0251730730153936,0.0577528428626431,0.625,1.0
UCEC_molecular_subtype,extra_trees,hist_gradient_boosting,6,4,0,0.0208542184347613,-0.0204977817950193,0.0573448326763864,0.322265625,1.0
UCEC_molecular_subtype,extra_trees,small_liquid_cfc_modality_sequence,5,4,1,0.0222417457960381,-0.0198452271246291,0.0655908525534163,0.359375,1.0
