cancer_type,modality,samples,n_features,rows_with_any_observed_feature,feature_observed_fraction,feature_missing_fraction
BRCA,mrna,1084,469,1082,0.9981549815498155,0.0018450184501845018
BRCA,gistic,1084,469,1070,0.9849802122754703,0.015019787724529698
BRCA,log2cna,1084,469,1070,0.9849802122754703,0.015019787724529698
BRCA,methylation,1084,387,1066,0.9773615759413408,0.022638424058659193
BRCA,rppa,1084,469,876,0.11188128938858685,0.8881187106114131
BRCA,mutation,1084,469,1084,1.0,0.0
COADREAD,mrna,594,469,592,0.9892995340756535,0.010700465924346522
COADREAD,gistic,594,469,592,0.9945079795826064,0.005492020417393551
COADREAD,log2cna,594,469,592,0.9945079795826064,0.005492020417393551
COADREAD,methylation,594,387,591,0.9888854087820496,0.01111459121795039
COADREAD,rppa,594,469,464,0.10826100378339185,0.8917389962166081
COADREAD,mutation,594,469,594,1.0,0.0
GBM,mrna,585,469,153,0.26153846153846155,0.7384615384615385
GBM,gistic,585,469,575,0.9808102345415778,0.019189765458422176
GBM,log2cna,585,469,575,0.9808102345415778,0.019189765458422176
GBM,methylation,585,387,415,0.704759380728373,0.29524061927162704
GBM,rppa,585,469,225,0.05324658757494578,0.9467534124250542
GBM,mutation,585,469,585,1.0,0.0
HNSC,mrna,523,469,515,0.9847036328871893,0.015296367112810707
HNSC,gistic,523,469,517,0.9864199896447835,0.013580010355216542
HNSC,log2cna,523,469,517,0.9864199896447835,0.013580010355216542
HNSC,methylation,523,387,523,0.9944120829442542,0.005587917055745772
HNSC,rppa,523,469,211,0.05591409247126835,0.9440859075287317
HNSC,mutation,523,469,523,1.0,0.0
KIRC,mrna,512,469,510,0.99609375,0.00390625
KIRC,gistic,512,469,509,0.9920209221748401,0.007979077825159915
KIRC,log2cna,512,469,509,0.9920209221748401,0.007979077825159915
KIRC,methylation,512,387,511,0.9913699127906976,0.008630087209302325
KIRC,rppa,512,469,455,0.12316347947761194,0.876836520522388
KIRC,mutation,512,469,512,1.0,0.0
LUAD,mrna,566,469,510,0.901060070671378,0.0989399293286219
LUAD,gistic,566,469,511,0.9009018511681873,0.09909814883181267
LUAD,log2cna,566,469,511,0.9009018511681873,0.09909814883181267
LUAD,methylation,566,387,562,0.9862081244692799,0.013791875530720137
LUAD,rppa,566,469,360,0.08815086606342341,0.9118491339365766
LUAD,mutation,566,469,566,1.0,0.0
LUSC,mrna,487,469,484,0.9938398357289527,0.006160164271047228
LUSC,gistic,487,469,487,0.997867803837953,0.0021321961620469083
LUSC,log2cna,487,469,487,0.997867803837953,0.0021321961620469083
LUSC,methylation,487,387,486,0.9919880723089739,0.00801192769102611
LUSC,rppa,487,469,317,0.09021335096299085,0.9097866490370091
LUSC,mutation,487,469,487,1.0,0.0
OV,mrna,583,469,300,0.5134825748737323,0.4865174251262677
OV,gistic,583,469,572,0.9790401094259162,0.020959890574083758
OV,log2cna,583,469,572,0.9790401094259162,0.020959890574083758
OV,methylation,583,387,582,0.9913305942266013,0.008669405773398753
OV,rppa,583,469,414,0.09841749351746536,0.9015825064825347
OV,mutation,583,469,583,1.0,0.0
PRAD,mrna,494,469,493,0.9978332743454503,0.002166725654549692
PRAD,gistic,494,469,489,0.9877679272808888,0.012232072719111212
PRAD,log2cna,494,469,489,0.9877679272808888,0.012232072719111212
PRAD,methylation,494,387,494,0.9944972747910324,0.005502725208967559
PRAD,rppa,494,469,350,0.09819324430479183,0.9018067556952082
PRAD,mutation,494,469,494,1.0,0.0
UCEC,mrna,529,469,527,0.9833777372924736,0.01662226270752637
UCEC,gistic,529,469,523,0.9865498325278818,0.01345016747211821
UCEC,log2cna,529,469,523,0.9865498325278818,0.01345016747211821
UCEC,methylation,529,387,529,0.994426615475545,0.005573384524454995
UCEC,rppa,529,469,423,0.11082180241111483,0.8891781975888852
UCEC,mutation,529,469,529,1.0,0.0
