cancer_type,modality,positive_samples,negative_samples,one_vs_rest_auc_mean,one_vs_rest_auc_sd
BRCA,mrna,1084,4873,0.9976911774800982,0.00169056190833698
COADREAD,mrna,594,5363,0.999707442174893,0.00037597518188638385
GBM,mrna,585,5372,0.973319999985194,0.005333416518591799
HNSC,mrna,523,5434,0.9986176762415535,0.0008567494345206471
KIRC,mrna,512,5445,0.9988177467176481,0.0013158715586331848
LUAD,mrna,566,5391,0.9812180214475736,0.004587821507827584
LUSC,mrna,487,5470,0.9771259064322312,0.011504658100675707
OV,mrna,583,5374,0.9720536122901173,0.006561290589006568
PRAD,mrna,494,5463,0.9995152995152996,0.0010838232325173797
UCEC,mrna,529,5428,0.9974366920558699,0.0017079129740791268
